Contradiction | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=czpweFYym9g
Crisis | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=UelDf62PmTs
Ecosystem | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Fy30hHYH978
Debris | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Bc7yLSHjLvs
Encounter | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=28B53wXQQVw
Alienated | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Y41Mj-fUN9U
Exclude | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=r4YN1wiV6kM
Anxious | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=UpCZQMts7hs
Recognition | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=6zdkeZ_UDXY
Advantage | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=TdD_tNeTEZ0
Strategic | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=6UF65aetSs8
Effective | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=NIHVc8Y0I3s
Interwoven | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=nv5eDkkca9A
Heritage | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=9ttbflLOXGM
Esteem | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=boB0GiMrS_Q
Perceive | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=NiaCGBX9Zig
Collective | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=08ezdqrSSIg
Incident | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Qrp76qvtUhM
Enforce | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=htns7S4ILYE
Impose | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=yZc71QSgd2Y
Resistance | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=H-K5y3QrSqM
Contentious | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=FqkqTp2IC3I
Rebellion | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=KSfHSvFc5vs
Eliminate | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=O3mwVQbV9GQ
Defiant | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Vq64MQBtIGc
Invalid | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=XWYe2AVlyg0
Policy | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=DKgf5xh3Vfg
Align | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=7hRMwFVTrtc
Regulate | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=hmn4DvB3djU
